"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"170","Southern Delta","no.action_1940.10_hsit.avgmon_rma",8,"1940","Oct","noAction",0.312990486621857
"171","Southern Delta","no.action_1979.06_hsit.avgmon_rma",10287,"1979","June","noAction",0.288550585508347
"172","Southern Delta","no.action_1979.07_hsit.avgmon_rma",0,"1979","July","noAction",0.231679394841194
"173","Southern Delta","no.action_1979.08_hsit.avgmon_rma",2,"1979","August","noAction",0.262672036886215
"174","Southern Delta","no.action_1979.09_hsit.avgmon_rma",9,"1979","Sep","noAction",0.311759918928146
"175","Southern Delta","no.action_1979.10_hsit.avgmon_rma",7,"1979","Oct","noAction",0.31381943821907
"176","Southern Delta","no.action_1986.06_hsit.avgmon_rma",4166,"1986","June","noAction",0.281773775815964
"177","Southern Delta","no.action_1986.07_hsit.avgmon_rma",0,"1986","July","noAction",0.217020228505135
"178","Southern Delta","no.action_1986.08_hsit.avgmon_rma",0,"1986","August","noAction",0.145815789699554
"179","Southern Delta","no.action_1986.09_hsit.avgmon_rma",0,"1986","Sep","noAction",0.285815477371216
"180","Southern Delta","no.action_1986.10_hsit.avgmon_rma",2,"1986","Oct","noAction",0.313903898000717
"181","Suisun Bay","smscg_1940.06_hsit.avgmon_rma",263619,"1940","June","GateAction",0.389862567186356
"182","Suisun Bay","smscg_1940.07_hsit.avgmon_rma",474284,"1940","July","GateAction",0.426266640424728
"183","Suisun Bay","smscg_1940.08_hsit.avgmon_rma",3347,"1940","August","GateAction",0.264391034841537
"184","Suisun Bay","smscg_1940.09_hsit.avgmon_rma",468048,"1940","Sep","GateAction",0.420116126537323
"185","Suisun Bay","smscg_1940.10_hsit.avgmon_rma",291537,"1940","Oct","GateAction",0.373599201440811
"186","Suisun Bay","smscg_1979.06_hsit.avgmon_rma",1052964,"1979","June","GateAction",0.635598659515381
"187","Suisun Bay","smscg_1979.07_hsit.avgmon_rma",716554,"1979","July","GateAction",0.504509270191193
"188","Suisun Bay","smscg_1979.08_hsit.avgmon_rma",25941,"1979","August","GateAction",0.257153034210205
"189","Suisun Bay","smscg_1979.09_hsit.avgmon_rma",0,"1979","Sep","GateAction",0.171369433403015
"190","Suisun Bay","smscg_1979.10_hsit.avgmon_rma",0,"1979","Oct","GateAction",0.18220466375351
"191","Suisun Bay","smscg_1986.06_hsit.avgmon_rma",299983,"1986","June","GateAction",0.400988817214966
