"","Year","Date","Survey","Station","turbidity","Secchi"
"303",1970,1970-09-16,3,"204",3,1.87999999523163
"304",1970,1970-09-16,3,"205",4,1.62000000476837
"305",1970,1970-09-16,3,"206",4,1.62000000476837
"306",1970,1970-09-16,3,"207",4,1.62000000476837
"307",1970,1970-09-16,3,"208",3,1.87999999523163
"308",1970,1970-09-16,3,"209",3,1.87999999523163
"309",1970,1970-09-16,3,"210",3,1.87999999523163
"310",1970,1970-09-16,3,"211",4,1.62000000476837
"311",1970,1970-09-16,3,"305",5,1.42999994754791
"312",1970,1970-09-16,3,"314",5,1.42999994754791
"313",1970,1970-09-17,3,"315",9,0.970000028610229
"314",1970,1970-09-17,3,"320",4,1.62000000476837
"315",1970,1970-09-16,3,"321",3,1.87999999523163
"316",1970,1970-09-17,3,"322",5,1.42999994754791
"317",1970,1970-09-16,3,"323",5,1.42999994754791
"318",1970,1970-09-16,3,"324",5,1.42999994754791
"319",1970,1970-09-16,3,"328",17,0.589999973773956
"320",1970,1970-09-17,3,"329",32,0.340000003576279
"321",1970,1970-09-17,3,"330",9,0.970000028610229
"322",1970,1970-09-17,3,"333",3,1.87999999523163
"323",1970,1970-09-17,3,"334",15,0.649999976158142
"324",1970,1970-09-17,3,"337",15,0.649999976158142
"325",1970,1970-09-16,3,"338",4,1.62000000476837
"326",1970,1970-09-17,3,"340",6,1.26999998092651
"327",1970,1970-09-17,3,"401",10,0.889999985694885
"328",1970,1970-09-17,3,"402",19,0.529999971389771
"329",1970,1970-09-17,3,"404",16,0.620000004768372
"330",1970,1970-09-17,3,"405",6,1.26999998092651
"331",1970,1970-09-18,3,"406",12,0.779999971389771
"332",1970,1970-09-18,3,"407",28,0.379999995231628
"333",1970,1970-09-18,3,"408",22,0.469999998807907
"334",1970,1970-09-19,3,"410",27,0.400000005960464
"335",1970,1970-09-19,3,"412",33,0.330000013113022
"336",1970,1970-09-18,3,"414",34,0.319999992847443
"337",1970,1970-09-18,3,"416",54,0.209999993443489
"338",1970,1970-09-18,3,"418",51,0.219999998807907
"339",1970,1970-09-19,3,"501",47,0.239999994635582
"340",1970,1970-09-19,3,"503",46,0.239999994635582
"341",1970,1970-09-19,3,"505",52,0.219999998807907
"342",1970,1970-09-19,3,"507",51,0.219999998807907
"343",1970,1970-09-19,3,"509",42,0.270000010728836
"344",1970,1970-09-19,3,"511",44,0.25
"345",1970,1970-09-19,3,"513",37,0.300000011920929
"346",1970,1970-09-18,3,"515",63,0.180000007152557
"347",1970,1970-09-18,3,"517",43,0.259999990463257
"348",1970,1970-09-19,3,"519",92,0.129999995231628
"349",1970,1970-09-18,3,"602",54,0.209999993443489
"350",1970,1970-09-18,3,"604",61,0.189999997615814
"351",1970,1970-09-18,3,"606",40,0.280000001192093
"352",1970,1970-09-19,3,"608",38,0.28999999165535
"353",1970,1970-09-20,3,"701",28,0.379999995231628
"354",1970,1970-09-20,3,"703",32,0.340000003576279
"355",1970,1970-09-20,3,"705",20,0.509999990463257
"356",1970,1970-09-20,3,"707",16,0.620000004768372
"357",1970,1970-09-20,3,"709",13,0.730000019073486
"358",1970,1970-09-20,3,"711",12,0.779999971389771
"359",1970,1970-09-19,3,"802",25,0.419999986886978
"360",1970,1970-09-20,3,"804",18,0.560000002384186
"361",1970,1970-09-20,3,"806",15,0.649999976158142
"362",1970,1970-09-21,3,"808",13,0.730000019073486
"363",1970,1970-09-21,3,"810",11,0.829999983310699
"364",1970,1970-09-21,3,"812",12,0.779999971389771
"365",1970,1970-09-21,3,"814",12,0.779999971389771
"366",1970,1970-09-21,3,"902",19,0.529999971389771
"367",1970,1970-09-21,3,"903",12,0.779999971389771
"368",1970,1970-09-21,3,"904",16,0.620000004768372
"369",1970,1970-09-21,3,"906",16,0.620000004768372
"370",1970,1970-09-21,3,"908",16,0.620000004768372
"371",1970,1970-09-21,3,"910",25,0.419999986886978
"372",1970,1970-09-21,3,"914",24,0.439999997615814
"373",1970,1970-09-21,3,"915",18,0.560000002384186
"374",1970,1970-10-14,4,"102",4,1.62000000476837
"375",1970,1970-10-14,4,"103",4,1.62000000476837
"376",1970,1970-10-14,4,"104",4,1.62000000476837
"377",1970,1970-10-14,4,"105",4,1.62000000476837
"378",1970,1970-10-14,4,"106",4,1.62000000476837
"379",1970,1970-10-14,4,"107",5,1.42999994754791
"380",1970,1970-10-14,4,"108",5,1.42999994754791
"381",1970,1970-10-14,4,"109",5,1.42999994754791
"382",1970,1970-10-14,4,"110",6,1.26999998092651
"383",1970,1970-10-14,4,"111",5,1.42999994754791
"384",1970,1970-10-14,4,"112",4,1.62000000476837
"385",1970,1970-10-14,4,"113",5,1.42999994754791
"386",1970,1970-10-15,4,"201",4,1.62000000476837
"387",1970,1970-10-15,4,"202",3,1.87999999523163
"388",1970,1970-10-15,4,"203",3,1.87999999523163
"389",1970,1970-10-15,4,"204",3,1.87999999523163
"390",1970,1970-10-14,4,"205",4,1.62000000476837
"391",1970,1970-10-14,4,"206",3,1.87999999523163
"392",1970,1970-10-14,4,"207",3,1.87999999523163
"393",1970,1970-10-14,4,"208",4,1.62000000476837
"394",1970,1970-10-14,4,"209",5,1.42999994754791
"395",1970,1970-10-15,4,"210",3,1.87999999523163
"396",1970,1970-10-15,4,"211",5,1.42999994754791
"397",1970,1970-10-15,4,"305",5,1.42999994754791
"398",1970,1970-10-15,4,"308",5,1.42999994754791
"399",1970,1970-10-15,4,"309",5,1.42999994754791
"400",1970,1970-10-15,4,"310",5,1.42999994754791
"401",1970,1970-10-16,4,"314",6,1.26999998092651
"402",1970,1970-10-16,4,"315",5,1.42999994754791
"403",1970,1970-10-16,4,"318",10,0.889999985694885
"404",1970,1970-10-15,4,"320",8,1.04999995231628
"405",1970,1970-10-15,4,"321",5,1.42999994754791
"406",1970,1970-10-15,4,"322",7,1.14999997615814
"407",1970,1970-10-15,4,"323",9,0.970000028610229
"408",1970,1970-10-15,4,"324",12,0.779999971389771
"409",1970,1970-10-15,4,"326",10,0.889999985694885
"410",1970,1970-10-16,4,"327",8,1.04999995231628
"411",1970,1970-10-16,4,"328",6,1.26999998092651
"412",1970,1970-10-16,4,"329",43,0.259999990463257
"413",1970,1970-10-16,4,"330",15,0.649999976158142
"414",1970,1970-10-16,4,"331",14,0.689999997615814
"415",1970,1970-10-16,4,"332",16,0.620000004768372
"416",1970,1970-10-16,4,"333",12,0.779999971389771
"417",1970,1970-10-16,4,"334",14,0.689999997615814
"418",1970,1970-10-16,4,"335",16,0.620000004768372
"419",1970,1970-10-15,4,"336",10,0.889999985694885
"420",1970,1970-10-15,4,"337",15,0.649999976158142
"421",1970,1970-10-15,4,"338",12,0.779999971389771
"422",1970,1970-10-16,4,"340",32,0.340000003576279
"423",1970,1970-10-16,4,"401",7,1.14999997615814
"424",1970,1970-10-16,4,"402",10,0.889999985694885
"425",1970,1970-10-16,4,"404",12,0.779999971389771
"426",1970,1970-10-16,4,"405",8,1.04999995231628
"427",1970,1970-10-17,4,"406",16,0.620000004768372
"428",1970,1970-10-17,4,"407",14,0.689999997615814
"429",1970,1970-10-17,4,"408",23,0.449999988079071
"430",1970,1970-10-18,4,"410",22,0.469999998807907
"431",1970,1970-10-17,4,"412",33,0.330000013113022
"432",1970,1970-10-17,4,"414",23,0.449999988079071
"433",1970,1970-10-17,4,"416",39,0.280000001192093
